description,category
Pizza and burger,Food
Had dinner at a restaurant,Food
Dinner at restaurant,Food
Uber ride to college,Transportation
Uber ride to work,Transportation
Uber ride,Transportation
Netflix subscription,Entertainment
Bought college books,Education
College books,Education
Electricity bill,Bills
Bought Nike shoes,Shopping
Bought new shoes,Shopping
Bought medicine,Healthcare
Bought tools for work,Work
Tools for work,Work
Safety helmets for site work,Work
Work gloves and boots,Work
Drill machine for construction work,Work
Toolbox and screwdrivers for work,Work
Office stationery and printing paper,Work
Work ladder for installation,Work
Hammer and nails for carpentry work,Work
Measuring tape and spirit level,Work
Welding rods for site fabrication,Work
Safety goggles and dust mask for work,Work
Power drill bits for project work,Work
Workplace safety vest and gear,Work
Office desk printer ink cartridge,Work
Industrial adhesive and sealant for work,Work
Extension cord and power board for work,Work
Work uniform coveralls,Work
Plumbing wrench and pipe cutter for work,Work
Multimeter testing device for electrical work,Work
Angle grinder cutting discs for work,Work
Paint rollers and brushes for site work,Work
Client contract legal stamp paper for work,Work
Whiteboard markers for office conference,Work
Tool bag and utility knife for work,Work
Soldering iron kit for electronics work,Work
Safety harness for high altitude work,Work
Office shredder oil and waste bags,Work
Hard hat protective gear for site,Work
Screws and wall plugs pack for work,Work
Heavy duty masking tape for work,Work
Flashlight and batteries for night work,Work
Cable ties and wire stripper for work,Work
Packaging boxes and bubble wrap for shipments,Work
Work gloves heavy duty leather,Work
Concrete drill bits for site job,Work
Office desk stationery stapler and pins,Work
Lunch at college cafeteria,Food
Groceries from supermarket,Food
Bought vegetables and fruits,Food
Starbucks iced latte,Food
Domino's pizza delivery,Food
McDonald's burger and fries,Food
Breakfast pancakes and orange juice,Food
Subway chicken sandwich,Food
Zomato food order delivery,Food
Swiggy dinner delivery,Food
Dinner with friends at cafe,Food
Bakery bread and milk,Food
Evening snacks and ice cream,Food
Street food tacos and shawarma,Food
KFC crispy chicken bucket,Food
Sushi rolls dinner,Food
Chai and samosa at tea stall,Food
Grocery shopping at Walmart,Food
Biryani family pack takeaway,Food
Dinner buffet at hotel,Food
Pasta and garlic bread,Food
Coffee and chocolate doughnut,Food
Chipotle burrito bowl,Food
Chinese noodles and fried rice,Food
Weekly fruits and grocery,Food
Espresso coffee at cafe,Food
Bought cheese and butter,Food
Lunch thali at mess,Food
Ice cream tub at supermarket,Food
Fast food meal combo,Food
Fresh eggs and bread,Food
Seafood dinner platter,Food
Order from Taco Bell,Food
Dine in family lunch,Food
Donuts from Dunkin,Food
Shawarma roll,Food
Steak and mashed potatoes,Food
South Indian dosa and idli,Food
Cold brew coffee,Food
Pizza Hut large pizza,Food
Waffles with maple syrup,Food
Snack bar chocolate cookies,Food
Bought chicken and mutton,Food
Dinner takeout,Food
Lunch at food court,Food
Oatmeal and almond milk,Food
Bubble tea boba drink,Food
Ramen noodle bowl,Food
Bakery birthday cake,Food
Catering lunch for meeting,Food
Pani puri and chaat,Food
Hot soup and breadsticks,Food
Breakfast omelette and toast,Food
Cappuccino and blueberry muffin,Food
Fish and chips,Food
Tandoori chicken platter,Food
Veggie salad bowl,Food
Ice cream sundae,Food
Fried rice and chilli chicken,Food
Chocolate brownie dessert,Food
Paneer butter masala and naan,Food
Ola cab to airport,Transportation
Metro card recharge,Transportation
Bus ticket to downtown,Transportation
Gas station petrol refill,Transportation
Diesel fuel for car,Transportation
Train ticket booking IRCTC,Transportation
Flight tickets to vacation,Transportation
Subway train fare,Transportation
Auto rickshaw fare,Transportation
Parking fee at mall,Transportation
Highway toll booth payment,Transportation
Car service and engine oil change,Transportation
Bike repair and puncture fix,Transportation
Taxi ride home late night,Transportation
Monthly metro rail pass,Transportation
Gasoline fill up at Shell,Transportation
Rental car booking for road trip,Transportation
Ferry boat ticket,Transportation
Electric vehicle charging station,Transportation
Uber cab ride to office,Transportation
Lyft ride to friend house,Transportation
Airport express metro ticket,Transportation
Scooter petrol fill,Transportation
Car wash and wheel alignment,Transportation
Local city bus fare,Transportation
Railway reservation ticket,Transportation
Monthly parking subscription,Transportation
Cab fare to hospital,Transportation
Bicycle servicing and chain lube,Transportation
Fastag toll recharge,Transportation
Intercity bus travel ticket,Transportation
Motorcycle helmet purchase,Transportation
Toll plaza fee,Transportation
Flight seat selection charge,Transportation
Sleeper train coach ticket,Transportation
Scooter servicing,Transportation
Carpool ride share contribution,Transportation
Airport parking overnight fee,Transportation
Night taxi fare,Transportation
Vehicle emission test fee,Transportation
Bus pass renewal,Transportation
Rapid transit token,Transportation
Tuk tuk auto fare,Transportation
Train platform ticket,Transportation
Ferry ticket to island,Transportation
Car insurance vehicle towing,Transportation
Gas refill for motorbike,Transportation
Uber trip to mall,Transportation
Commuter train monthly pass,Transportation
Airport shuttle bus fare,Transportation
Bought Nike shoes,Shopping
Amazon online order delivery,Shopping
Zara clothes shopping,Shopping
H&M casual shirt and jeans,Shopping
Running sneakers from Adidas,Shopping
New leather wallet,Shopping
Winter jacket and gloves,Shopping
Flipkart electronics package,Shopping
Formal suit and tie,Shopping
Cotton t-shirts 3-pack,Shopping
Sunglasses from Ray-Ban,Shopping
Smart watch fitness band,Shopping
Perfume and fragrance bottle,Shopping
Backpack for travel,Shopping
Wireless bluetooth headphones,Shopping
Bed sheets and pillow covers,Shopping
Denim jeans from Levi's,Shopping
Sneakers bought from Puma,Shopping
Handbag purchase at mall,Shopping
Casual footwear sandals,Shopping
Woolen sweater and muffler,Shopping
Online clothes order Myntra,Shopping
Cosmetics and makeup kit,Shopping
Formal leather shoes,Shopping
Gold jewelry pendant,Shopping
Phone protective case and tempered glass,Shopping
Wristwatch from Fossil,Shopping
Boutique dress for wedding,Shopping
Gaming mouse pad and keyboard,Shopping
Branded sports jersey,Shopping
Home curtains and cushions,Shopping
Kitchen cookware frying pan,Shopping
Wall art painting frame,Shopping
Travel suitcase trolley bag,Shopping
Summer shorts and cap,Shopping
Water bottle steel flask,Shopping
Gift item for friend birthday,Shopping
Silver ring and bracelet,Shopping
Bluetooth portable speaker,Shopping
Office desk chair,Shopping
Winter overcoat,Shopping
Formal trousers and belt,Shopping
Shopping at clothing store,Shopping
Bought new jeans and shirt,Shopping
Shoe shopping at mall,Shopping
Purchased leather jacket,Shopping
Bought wireless earbuds,Shopping
Online shopping delivery,Shopping
Bought winter scarf and cap,Shopping
Purchased formal shirt,Shopping
Bought party wear dress,Shopping
Electricity bill payment,Bills
Monthly WiFi broadband bill,Bills
Mobile phone postpaid recharge,Bills
Water utility bill,Bills
Piped gas bill payment,Bills
House rent payment,Bills
Apartment monthly maintenance fee,Bills
DTH cable TV recharge,Bills
Municipal property tax payment,Bills
Garbage disposal fee,Bills
Municipal water supply tax,Bills
High speed optic fiber internet bill,Bills
Credit card monthly statement bill,Bills
Landline telephone bill,Bills
LPG cylinder gas refill booking,Bills
Solar power maintenance bill,Bills
Home electricity power consumption,Bills
Airtel mobile bill payment,Bills
Jio fiber internet bill,Bills
Society clubhouse maintenance,Bills
Sewage and drainage bill,Bills
Quarterly electricity charges,Bills
Postpaid cellular mobile plan,Bills
Office cabin rent,Bills
Gas pipeline monthly bill,Bills
Water meter bill payment,Bills
Cable dish TV monthly recharge,Bills
Electricity board payment,Bills
Municipal corporation house tax,Bills
Broadband connection renewal,Bills
Power utility invoice,Bills
Monthly rent to landlord,Bills
Internet broadband WiFi bill,Bills
Electric utility power bill,Bills
Mobile recharge prepaid plan,Bills
Utility water supply bill,Bills
Apartment society bill,Bills
Telephone monthly bill,Bills
Cooking gas cylinder bill,Bills
Home electricity connection bill,Bills
Netflix monthly subscription,Entertainment
Cinema movie tickets at PVR,Entertainment
Spotify premium music plan,Entertainment
Gaming concert festival pass,Entertainment
IMAX movie tickets Avengers,Entertainment
Prime video monthly subscription,Entertainment
Steam video game purchase,Entertainment
Amusement park entry ticket,Entertainment
Stand-up comedy show ticket,Entertainment
Bowling alley with friends,Entertainment
Music rock concert pass,Entertainment
YouTube Premium family plan,Entertainment
PlayStation Plus annual subscription,Entertainment
Disney+ Hotstar VIP recharge,Entertainment
Art museum entry ticket,Entertainment
Nightclub entry cover charge,Entertainment
Arcade gaming center tokens,Entertainment
Board game set purchase,Entertainment
Comic book convention pass,Entertainment
Live theater drama tickets,Entertainment
Apple Music subscription,Entertainment
Escape room game ticket,Entertainment
Water park weekend entry pass,Entertainment
Nintendo Switch game cartridge,Entertainment
Laser tag game tickets,Entertainment
Live cricket stadium match ticket,Entertainment
Football stadium match entry,Entertainment
Audible audiobooks subscription,Entertainment
Circus show entry ticket,Entertainment
Xbox Game Pass subscription,Entertainment
Karaoke room rental,Entertainment
Paintball arena tickets,Entertainment
Standup comedy club night,Entertainment
Movie theater ticket at multiplex,Entertainment
Video games on Steam store,Entertainment
Theme park ride tickets,Entertainment
Live music concert show,Entertainment
Film festival pass,Entertainment
Cinema multiplex popcorn and movie,Entertainment
PlayStation digital game download,Entertainment
Bought medicine at pharmacy,Healthcare
Pharmacy prescription pills,Healthcare
Doctor clinic consultation fee,Healthcare
Dental checkup and teeth cleaning,Healthcare
Eye examination and contact lenses,Healthcare
Blood test pathology lab charges,Healthcare
Medical health insurance premium,Healthcare
Cough syrup and painkiller paracetamol,Healthcare
Hospital emergency room visit,Healthcare
Dermatology skin specialist consultation,Healthcare
Vitamin supplements and calcium tablets,Healthcare
First aid kit bandages and antiseptic,Healthcare
Full body health checkup package,Healthcare
Orthopedic joint consultation,Healthcare
Physiotherapy recovery session,Healthcare
Eye drops and allergy medicine,Healthcare
Stomach antacid tablets,Healthcare
Covid booster vaccination dose,Healthcare
Dental filling and root canal,Healthcare
Prescription eyeglasses frames,Healthcare
Antibiotics course from chemist,Healthcare
Pediatrician child consultation,Healthcare
Band-aids and surgical tape,Healthcare
Thermometer and oximeter,Healthcare
Homeopathic medicines,Healthcare
Cardiologist heart checkup,Healthcare
Physician consultation fee,Healthcare
Ayurvedic herbal medicines,Healthcare
Pharmacy medical store bill,Healthcare
Hospital inpatient room bill,Healthcare
Medical prescription medicine,Healthcare
Clinic doctor consultation,Healthcare
Medicines from pharmacy,Healthcare
Dentist dental clinic visit,Healthcare
Purchased prescription medicines,Healthcare
Health checkup lab test,Healthcare
Medical store pharmacy tablets,Healthcare
Bought allergy medicine and syrup,Healthcare
Doctor visit consultation,Healthcare
Bought painkiller medicine,Healthcare
Bought college books,Education
College semester tuition fee,Education
Udemy online Python coding course,Education
Coursera machine learning certificate,Education
Engineering textbooks and notebooks,Education
Scientific calculator for math exam,Education
College library membership fee,Education
Competitive exam registration fee,Education
Stationery spiral notebooks and pens,Education
GRE exam preparation guide,Education
Research paper academic download fee,Education
Full stack coding bootcamp fee,Education
University hostel accommodation fee,Education
School admission registration fee,Education
Physics laboratory manual,Education
Online web development bootcamp,Education
Geometry box and drawing instruments,Education
Data science certification fee,Education
Reference books for semester,Education
IELTS coaching classes tuition,Education
College exam hall ticket fee,Education
Academic journal annual subscription,Education
Chemistry lab apron and notebook,Education
Mathematics study guide books,Education
Campus workshop registration,Education
School uniform and stationery,Education
Project assignment printout and binding,Education
Study notes xerox photocopies,Education
Graduation ceremony fee,Education
Tuition fee for coaching classes,Education
College textbooks and study material,Education
University course registration fee,Education
Bought notebooks and college pens,Education
Engineering college semester fees,Education
Online learning course subscription,Education
College library overdue fine,Education
Academic textbook purchase,Education
Tuition classes monthly fee,Education
Purchased books for college semester,Education
College study guide notes,Education
Donation to charity foundation,Other
Cash withdrawal ATM fee,Other
Courier parcel shipping charges,Other
Bank account annual maintenance charge,Other
Legal consultation lawyer fee,Other
Key duplication locksmith charge,Other
Passport renewal application fee,Other
Tip to hotel room service,Other
Pet dog food and chew treats,Other
Gardening plants potting soil and pots,Other
Dry cleaning suit and laundry,Other
Notary affidavit legal stamping,Other
Post office postal stamps,Other
Wire transfer international bank fee,Other
Car wash and vacuuming service,Other
Government document stamp duty,Other
Shoe repair and polishing,Other
Storage locker monthly rent,Other
Lost key replacement,Other
Donation to animal shelter,Other
Tailor stitching charges,Other
Religious temple offering donation,Other
Bank safe deposit locker fee,Other
Package delivery courier fee,Other
House deep cleaning service,Other
Car battery jumper cables,Other
Plumber pipe leakage repair service,Other
Electrician wiring repair charge,Other
Pest control treatment for house,Other
Carpenter furniture repair,Other
Charity relief fund donation,Other
Laundry and dry cleaning service,Other
Bank transaction service fee,Other
Pet grooming and veterinary shampoo,Other
Passport visa processing charge,Other
Locksmith home lock repair,Other
Office courier parcel delivery,Other
Dry cleaner coat washing,Other
Donation to orphan trust,Other
Bank cheque book issue charge,Other
